Season,Lg,Tm,W,L,Finish,Blank,Age,Ht.,Wt.,Blank2,G,MP,FG,FGA,FGPercentage,3P,3PA,3PPercentage,2P,2PA,2PPercentage,FT,FTA,FTPercentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,NBA,NYK,37,45,3,,28.3,6-6,219,,82,19855,3027,6739,.449,759,2038,.372,2268,4701,.482,1271,1670,.761,870,2437,3307,1641,631,367,1063,1815,8084
2012-13,NBA,NYK,54,28,1,,30.2,6-6,218,,82,19730,2996,6689,.448,891,2371,.376,2105,4318,.487,1313,1729,.759,890,2436,3326,1579,672,294,988,1650,8196
2011-12,NBA,NYK,36,30,2,,26.3,6-7,222,,66,15940,2365,5335,.443,517,1538,.336,1848,3797,.487,1211,1634,.741,743,2012,2755,1328,622,276,1056,1391,6458
2010-11,NBA,NYK,42,40,2,,25.3,6-7,220,,82,19780,3140,6867,.457,765,2081,.368,2375,4786,.496,1689,2087,.809,847,2470,3317,1757,625,475,1123,1743,8734
2009-10,NBA,NYK,29,53,3,,25.4,6-7,217,,82,19880,3127,6876,.455,743,2145,.346,2384,4731,.504,1376,1759,.782,836,2477,3313,1772,586,305,1148,1638,8373
2008-09,NBA,NYK,32,50,5,,25.7,6-6,216,,82,19805,3157,7091,.445,823,2284,.360,2334,4807,.486,1490,1900,.784,911,2545,3456,1738,610,204,1174,1672,8627
2007-08,NBA,NYK,23,59,5,,25.7,6-6,223,,82,19880,2967,6757,.439,490,1454,.337,2477,5303,.467,1524,2095,.727,1029,2457,3486,1530,521,213,1187,1761,7948
2006-07,NBA,NYK,33,49,4,,25.4,6-6,225,,82,20005,2903,6356,.457,474,1370,.346,2429,4986,.487,1714,2396,.715,1032,2516,3548,1532,543,260,1405,1932,7994
2005-06,NBA,NYK,23,59,5,,25.6,6-6,224,,82,19930,2822,6206,.455,320,884,.362,2502,5322,.470,1878,2587,.726,1034,2360,3394,1468,555,271,1449,2157,7842
2004-05,NBA,NYK,33,49,5,,27.3,6-7,212,,82,19880,2978,6599,.451,441,1240,.356,2537,5359,.473,1580,2060,.767,965,2393,3358,1665,629,260,1204,1942,7977
2003-04,NBA,NYK,39,43,3,,29.6,6-7,215,,82,19880,2881,6513,.442,406,1115,.364,2475,5398,.459,1374,1732,.793,950,2543,3493,1695,608,391,1289,1897,7542
2002-03,NBA,NYK,37,45,6,,30.2,6-6,212,,82,19855,2967,6725,.441,606,1582,.383,2361,5143,.459,1320,1620,.815,842,2376,3218,1800,579,255,1149,1888,7860
2001-02,NBA,NYK,30,52,7,,30.3,6-6,208,,82,19805,2817,6520,.432,474,1344,.353,2343,5176,.453,1406,1786,.787,876,2458,3334,1720,558,288,1192,1800,7514
2000-01,NBA,NYK,48,34,3,,29.8,6-6,212,,82,19905,2755,6198,.444,391,1115,.351,2364,5083,.465,1374,1727,.796,773,2524,3297,1520,545,346,1189,1863,7275
1999-00,NBA,NYK,50,32,2,,29.5,6-6,214,,82,19830,2897,6374,.455,351,937,.375,2546,5437,.468,1410,1805,.781,802,2521,3323,1588,515,349,1201,1983,7555
1998-99,NBA,NYK,27,23,4,,29.0,6-6,215,,50,12100,1610,3704,.435,208,589,.353,1402,3115,.450,892,1218,.732,551,1510,2061,963,395,262,804,1140,4320
1997-98,NBA,NYK,43,39,2,,30.2,6-5,212,,82,19830,2864,6413,.447,382,1139,.335,2482,5274,.471,1399,1812,.772,978,2434,3412,1787,634,278,1247,1947,7509
1996-97,NBA,NYK,57,25,2,,29.7,6-6,215,,82,19855,2882,6227,.463,470,1294,.363,2412,4933,.489,1585,2119,.748,973,2516,3489,1809,629,378,1462,2033,7819
1995-96,NBA,NYK,47,35,2,,30.4,6-6,214,,82,19830,3003,6382,.471,485,1285,.377,2518,5097,.494,1480,1954,.757,829,2449,3278,1822,645,377,1272,1864,7971
1994-95,NBA,NYK,55,27,2,,29.4,6-6,213,,82,19780,2985,6394,.467,532,1446,.368,2453,4948,.496,1552,2114,.734,929,2473,3402,2055,591,387,1305,2102,8054